Location,Date,Avg Temperature,Avg Humidity,Min Temperature,Max Temperature
cicalino1,2024-07-05,25.77777777777778,56.67444444444445,16.0,32.2
cicalino1,2024-07-06,22.3425,72.2475,13.6,30.6
cicalino1,2024-07-07,23.517916666666665,76.72875,18.7,30.2
cicalino1,2024-07-08,25.669166666666666,69.14375,18.3,33.9
cicalino1,2024-07-09,25.87,53.647083333333335,15.0,36.0
cicalino1,2024-07-10,26.41,58.94375,15.0,36.2
cicalino1,2024-07-11,26.2625,54.38625,15.9,35.9
cicalino1,2024-07-12,26.169583333333335,57.74541666666667,16.4,35.2
cicalino1,2024-07-13,25.491666666666664,69.13708333333334,18.2,34.2
cicalino1,2024-07-14,25.960416666666664,68.72875,16.9,35.9
cicalino1,2024-07-15,26.97583333333333,57.115833333333335,16.2,37.1
cicalino1,2024-07-16,26.463333333333335,55.91,15.9,36.3
cicalino1,2024-07-17,27.664583333333336,55.034166666666664,17.0,37.0
cicalino1,2024-07-18,27.054166666666664,52.11375,15.4,38.3
cicalino1,2024-07-19,27.71666666666667,54.53666666666667,17.6,37.4
cicalino1,2024-07-20,26.829583333333332,63.965,17.4,34.2
cicalino1,2024-07-21,26.60166666666667,67.94541666666667,17.6,37.1
cicalino1,2024-07-22,25.0725,73.41291666666666,19.4,34.6
cicalino1,2024-07-23,26.9375,66.83583333333333,17.9,35.8
cicalino1,2024-07-24,27.91625,62.30375,19.0,36.1
cicalino1,2024-07-25,28.338333333333335,58.562083333333334,20.1,36.6
cicalino1,2024-07-26,27.534166666666668,65.52083333333333,18.3,36.6
cicalino1,2024-07-27,27.459166666666665,63.673750000000005,17.9,37.8
cicalino1,2024-07-28,27.36125,57.69625,16.8,37.9
cicalino1,2024-07-29,28.60375,51.475,17.4,39.4
cicalino1,2024-07-30,30.701666666666668,45.10541666666666,21.7,39.9
cicalino1,2024-07-31,29.779583333333335,52.00625,19.5,39.3
cicalino1,2024-08-01,28.059583333333332,53.085,18.4,38.3
cicalino1,2024-08-02,27.50708333333333,70.19,19.2,37.2
cicalino1,2024-08-03,27.08458333333333,73.9975,20.7,38.3
cicalino1,2024-08-04,27.015,66.25541666666666,18.4,36.5
cicalino1,2024-08-05,28.276666666666667,57.18875,19.1,36.9
cicalino1,2024-08-06,27.452916666666667,65.48458333333333,18.4,36.3
cicalino1,2024-08-07,26.965,64.51083333333334,17.8,36.9
cicalino1,2024-08-08,26.97583333333333,62.82791666666666,16.8,36.3
cicalino1,2024-08-09,28.131249999999998,63.40833333333333,18.7,37.2
cicalino1,2024-08-10,29.72875,50.943333333333335,19.9,40.1
cicalino1,2024-08-11,29.824166666666667,56.43875,20.5,40.0
cicalino1,2024-08-12,29.86708333333333,52.525,21.0,39.2
cicalino1,2024-08-13,28.991249999999997,49.2125,19.9,39.3
cicalino1,2024-08-14,28.039166666666663,63.81041666666667,19.5,37.3
cicalino1,2024-08-15,25.798333333333332,66.21666666666667,19.0,35.8
cicalino1,2024-08-16,27.37291666666667,61.594166666666666,19.7,37.0
cicalino1,2024-08-17,27.194166666666664,64.30499999999999,19.3,35.1
cicalino1,2024-08-18,23.343333333333334,83.12708333333333,19.2,33.8
cicalino1,2024-08-19,23.02208333333333,76.18333333333334,18.1,31.9
cicalino1,2024-08-20,24.29625,72.7275,16.8,33.2
cicalino1,2024-08-21,26.302916666666665,69.61874999999999,19.4,34.0
cicalino1,2024-08-22,26.743750000000002,64.07125,18.4,35.4
cicalino1,2024-08-23,19.611428571428572,87.61571428571428,18.3,21.3
